user,text,ts
Rocky Yu,Dinner will be ready in 20min or so ,2023-07-22 17:32:58
Rocky Yu,Picking up food now ,2023-07-22 17:32:42
Eduardo Reis,"Hey everyone, letting you know that few emails from <http://llama-api.com|llama-api.com> are going to spam for some people, if you didn’t get the invite, please check you spam box.",2023-07-22 16:53:27
Robert Nowell,"Hi folks, anyone want an extra pair of hands to test / improve prompts? Feel free to message",2023-07-22 16:15:22
Ron Bodkin,"Hi all - I wanted to share a link our new open source framework for building with collaborating agents, Council: <https://github.com/chain-ml/council> - I'd love to get feedback and be happy to answer questions if you try it out.",2023-07-22 16:12:22
Eduardo Reis,"We are giving credits for teams running Llama API - the first implementation of functions on open-source models - Just go to the website <https://llama-api.com>, register there and send your registered email (and idea if you wish) to the <https://discord.gg/sxcd9hfbkJ|LlamaAPI discord> channel “agi-hackathon”. Looking forward to see what can be built with Functions on open-source models :fire::rocket:",2023-07-22 15:59:19
Harrison Chase,"sorry i posted in the wrong channel!

Excited to see what gets built today! As mentioned, we'll be giving access to LangSmith (<https://smith.langchain.com/>) to all participants. Use access code `langsmith_hackathon_agi` and ill be around all afternoon (currently in the foyer at the front) to answer any questions",2023-07-22 15:46:11
Alex Reibman,Where can we get langsmith access? We’re using langchain to build our agent and want to check it out,2023-07-22 15:18:22
Jack,"I have been working on a <https://github.com/jackmpcollins/magentic|Python package >`magentic` that makes using openai function calling as easy as writing python function signatures. My goal today is to have one project use this (it could be yours!). As Harrison said earlier OpenAI function calling and custom prompts are the best tools to use for your hackathon project, and `magentic` is built to enable exactly that! <https://github.com/jackmpcollins/magentic>",2023-07-22 15:02:25
Saurabh Misra,Is there free OpenAI API keys available for this hackathon?,2023-07-22 14:43:16
Alex Reibman,"We’re building Travel Agent-- Agent that automatically creates frequent flier number accounts for you. If you’re down to work together, we’re by the koi pond",2023-07-22 14:30:16
Div Garg,"<!channel> Instructions for using the *MultiOn API*:
• Please come to the desks near the presentation area for signing our Hackathon Participation form &amp; getting any support
• You can directly use MultiOn from *Langchain*: <https://python.langchain.com/docs/modules/agents/toolkits/multion>
• You can also check our API examples and also build custom agents directly using our *python &amp; js sdk*s : <https://github.com/MULTI-ON/api>
• Here's an example agent built with MultiOn API to scrape information online &amp; send back a screenshot: <https://github.com/MULTI-ON/api/blob/main/examples/Multion_api_example.ipynb>
• You can find *documentation* &amp; installation instructions for MultiOn here: <https://docs.multion.ai/>
• Finally we are building a *Skills Marketplace* for MultiOn and please reach out to us if you want to help build it :star-struck:",2023-07-22 14:18:42
Jackson Jesionowski,"Been working on creating a strong multi-action-agent.

A week ago I watched a friend copying prompts and using GPT to answer questions for an accelerator, said he planned to apply to every accelerator and incubator and pre-seed firm, had a link list of 1,200 different.

I thought that had to have been automated already, but came up with nothing. Thus working on a complete AutoFormFiller today, working on optimizing it, sample demo below. DM me to join up / help.

We first evaluate if the data file uploaded will provide a good answer, and when it doesn't have the data, it prompts user entry, and saves the response for future responses",2023-07-22 14:01:24
Jackson Jesionowski,"Also quick idea for anyone searching, that I plan to explore in the future, I've used applications like UbotStudio and Zennoposter which are no-code browser automation tools, they include multi-threading, headless browsing, captcha breaking. Would love to see an LLM agent built on top of those platforms. Seems it would take the multi-action-agent space much further by building on top of these systems.",2023-07-22 14:00:07
Bill Sun,Today excited to solve the dataset curation problem together,2023-07-22 13:39:37
Bill Sun,"A quick introduction: I was Stanford AI PhD, worked in Algo trading as a Portfolio manager last 4 years, currently doing a new startup on AI Agent and vertical large model for financial investment, called Generative Alpha",2023-07-22 13:39:16
Bill Sun,,2023-07-22 13:35:53
Bill Sun,"Bill Sun again, our Team CREATE YOUR DATASET FOR YOUR OWN AI  is in the SUN Room here:",2023-07-22 13:35:36
Jazear Brooks,"I'm working on Communiverse - AI Agent Orchestration Layer

It's an ongoing conversation among multiple humans and multiple AIs.  It can be used for application development, entertainment, social cohesion, or anything else for which a group chat would be created.  Sif Messenger enables cognition from the vantage point of groups of users, including the network as a whole and subject-based groups",2023-07-22 13:28:30
